streams,acousticness,danceability,energy,liveness,speechiness,valence
2266629.00,0.01,0.62,0.40,0.12,0.44,0.57
566669.00,0.38,0.73,0.59,0.15,0.02,0.72
158592157.00,0.11,0.77,0.65,0.11,0.31,0.78
280140942.00,0.05,0.86,0.60,0.09,0.18,0.50
9262349.00,0.04,0.84,0.44,0.13,0.29,0.46
4304652.00,0.04,0.89,0.32,0.13,0.18,0.41
8200465.00,0.03,0.67,0.92,0.24,0.04,0.80
127216267.00,0.02,0.62,0.71,0.08,0.10,0.24
34621182.00,0.22,0.88,0.50,0.11,0.18,0.18
923777.00,0.00,0.32,0.80,0.10,0.04,0.39
52987304.00,0.42,0.28,0.39,0.10,0.03,0.23
1219865.00,0.26,0.56,0.77,0.32,0.23,0.18
751710.00,0.08,0.69,0.83,0.10,0.03,0.35
22261149.00,0.06,0.68,0.82,0.60,0.15,0.24
4017925.00,0.01,0.51,0.44,0.17,0.37,0.11
9069508.00,0.30,0.35,0.33,0.09,0.04,0.19
3324425.00,0.15,0.72,0.59,0.08,0.12,0.71
85977992.00,0.08,0.80,0.60,0.10,0.06,0.42
1467890.00,0.32,0.77,0.83,0.12,0.18,0.88
4965224.00,0.05,0.50,0.77,0.10,0.08,0.47
4158628.00,0.21,0.77,0.76,0.09,0.05,0.28
5001832.00,0.05,0.77,0.48,0.38,0.06,0.48
25600556.00,0.06,0.44,0.74,0.10,0.11,0.21
832728.00,0.61,0.42,0.48,0.07,0.04,0.11
95027383.00,0.73,0.78,0.47,0.11,0.05,0.24
2453453.00,0.45,0.51,0.44,0.06,0.02,0.38
5370840.00,0.11,0.87,0.59,0.14,0.36,0.70
63815998.00,0.09,0.70,0.91,0.08,0.06,0.76
623585575.00,0.09,0.80,0.68,0.09,0.04,0.84
4994408.00,0.32,0.82,0.81,0.15,0.19,0.25
3194944.00,0.66,0.75,0.64,0.10,0.05,0.45
61022698.00,0.18,0.51,0.62,0.12,0.03,0.40
45036258.00,0.25,0.69,0.62,0.11,0.06,0.54
849202.00,0.12,0.57,0.83,0.79,0.09,0.79
1668898.00,0.95,0.13,0.17,0.09,0.04,0.12
14748722.00,0.00,0.79,0.45,0.29,0.46,0.67
7850677.00,0.65,0.55,0.48,0.28,0.06,0.56
1151464.00,0.68,0.58,0.49,0.12,0.05,0.84
821086.00,0.64,0.41,0.54,0.08,0.10,0.06
4595792.00,0.04,0.77,0.72,0.10,0.05,0.77
654269.00,0.02,0.58,0.87,0.13,0.04,0.82
8812324.00,0.01,0.72,0.58,0.38,0.25,0.31
1266318.00,0.03,0.65,0.36,0.10,0.40,0.84
7709307.00,0.63,0.57,0.66,0.12,0.05,0.44
614680.00,0.00,0.89,0.56,0.10,0.32,0.57
918285.00,0.12,0.39,0.65,0.08,0.04,0.11
5050166.00,0.87,0.24,0.27,0.09,0.04,0.16
91846816.00,0.02,0.74,0.62,0.15,0.13,0.51
110760711.00,0.08,0.74,0.86,0.36,0.05,0.64
80318117.00,0.49,0.58,0.39,0.11,0.03,0.32
535620.00,0.14,0.50,0.75,0.19,0.04,0.59
1960777.00,0.11,0.80,0.68,0.11,0.15,0.35
2231423.00,0.69,0.80,0.76,0.11,0.04,0.46
24346468.00,0.28,0.34,0.81,0.10,0.05,0.34
101460884.00,0.19,0.68,0.93,0.12,0.05,0.16
47185371.00,0.01,0.80,0.76,0.09,0.05,0.28
6380705.00,0.10,0.85,0.73,0.15,0.27,0.50
16552215.00,0.10,0.77,0.55,0.11,0.05,0.10
900358138.00,0.56,0.92,0.54,0.10,0.08,0.71
8497659.00,0.04,0.74,0.72,0.08,0.12,0.97
718044.00,0.05,0.76,0.50,0.23,0.21,0.52
986407.00,0.20,0.74,0.96,0.34,0.13,0.95
18221055.00,0.24,0.61,0.85,0.25,0.05,0.82
906995.00,0.64,0.62,0.48,0.32,0.04,0.43
2266093.00,0.24,0.88,0.69,0.14,0.39,0.86
3051163.00,0.09,0.68,0.79,0.36,0.31,0.53
1037950.00,0.15,0.90,0.86,0.21,0.21,0.94
43782494.00,0.01,0.77,0.89,0.40,0.10,0.84
2981088.00,0.84,0.47,0.49,0.10,0.03,0.20
8624208.00,0.00,0.94,0.50,0.08,0.14,0.46
524230.00,0.30,0.69,0.67,0.75,0.03,0.58
2282071.00,0.20,0.60,0.73,0.19,0.41,0.13
171334377.00,0.30,0.69,0.69,0.10,0.04,0.45
3322113.00,0.26,0.64,0.61,0.11,0.16,0.53
690645177.00,0.01,0.85,0.56,0.09,0.04,0.86
2551998.00,0.16,0.76,0.74,0.12,0.45,0.51
868878.00,0.60,0.66,0.57,0.20,0.04,0.80
85739494.00,0.20,0.58,0.57,0.08,0.05,0.30
103782537.00,0.16,0.84,0.80,0.06,0.23,0.62
1476660.00,0.54,0.73,0.69,0.19,0.17,0.64
8453567.00,0.00,0.52,0.73,0.09,0.06,0.34
21868030.00,0.07,0.57,0.58,0.40,0.06,0.20
742801.00,0.85,0.38,0.27,0.11,0.17,0.27
53268319.00,0.04,0.75,0.88,0.23,0.07,0.75
15120437.00,0.10,0.74,0.66,0.06,0.03,0.80
4111227.00,0.07,0.81,0.66,0.12,0.04,0.34
1074150.00,0.03,0.61,0.82,0.09,0.32,0.28
1097873.00,0.27,0.62,0.50,0.33,0.21,0.58
690257.00,0.81,0.55,0.33,0.12,0.03,0.50
687717.00,0.04,0.58,0.51,0.08,0.04,0.48
875243.00,0.03,0.74,0.56,0.08,0.08,0.32
738419.00,0.08,0.65,0.59,0.38,0.32,0.51
6352063.00,0.25,0.75,0.50,0.14,0.04,0.07
177764795.00,0.05,0.53,0.62,0.29,0.12,0.59
